Place,Lat,Long
U.S. Navy,38.658360,-76.531631
SeaWorld Orlando,28.411640,-81.459106
SeaWorld San Diego,32.761130,-117.219980
Dolphin Research Center,24.76794,-80.94455
Miami Seaquarium,25.775080,-80.194702
Marine Life Oceanarium,27.33358,-82.57722
Discovery Cove,28.40564,-81.46092
SeaWorld San Antonio,29.45661,-98.69907
Marineland Florida,29.66934,-81.21267
Sea Life Park Hawaii,21.31365,-157.66284
Brookfield Zoo,41.83303,-87.83376
Theater of the Sea,26.10242,-78.66997
Dolphins Plus Oceanside,25.11928,-80.41856
Gulfarium, Gulf Exhibition Corp,30.39471,-86.59288
Six Flags Discovery Kingdom,38.13846,-122.23322
Navy, U.S. (SPAWAR),32.75160,-117.18723
Gulf World Marine Park, Inc.,30.21142,-8586693
Dolphin Quest Hawai'i,20.02845,-155,65635
Indianapolis Zoo,39.76767,-86.18022
